,hall,floor,row,col
232,OH,1F,07,17
233,OH,1F,07,18
234,OH,1F,07,19
235,OH,1F,07,20
236,OH,1F,07,21
237,OH,1F,07,22
238,OH,1F,07,23
239,OH,1F,07,24
240,OH,1F,07,25
241,OH,1F,07,26
242,OH,1F,07,27
243,OH,1F,07,28
244,OH,1F,07,29
245,OH,1F,07,30
246,OH,1F,07,31
247,OH,1F,07,32
248,OH,1F,07,33
249,OH,1F,07,34
250,OH,1F,07,35
251,OH,1F,07,36
252,OH,1F,07,37
253,OH,1F,07,38
254,OH,1F,07,39
255,OH,1F,07,40
256,OH,1F,07,41
257,OH,1F,08,02
258,OH,1F,08,03
259,OH,1F,08,04
260,OH,1F,08,05
261,OH,1F,08,06
262,OH,1F,08,07
263,OH,1F,08,08
264,OH,1F,08,09
265,OH,1F,08,10
266,OH,1F,08,11
267,OH,1F,08,12
268,OH,1F,08,13
269,OH,1F,08,14
270,OH,1F,08,15
271,OH,1F,08,16
272,OH,1F,08,17
273,OH,1F,08,18
274,OH,1F,08,19
275,OH,1F,08,20
276,OH,1F,08,21
277,OH,1F,08,22
278,OH,1F,08,23
279,OH,1F,08,24
280,OH,1F,08,25
281,OH,1F,08,26
282,OH,1F,08,27
283,OH,1F,08,28
284,OH,1F,08,29
285,OH,1F,08,30
286,OH,1F,08,31
287,OH,1F,08,32
288,OH,1F,08,33
289,OH,1F,08,34
290,OH,1F,08,35
291,OH,1F,08,36
292,OH,1F,08,37
293,OH,1F,08,38
294,OH,1F,08,39
295,OH,1F,08,40
296,OH,1F,08,41
297,OH,1F,09,02
298,OH,1F,09,03
299,OH,1F,09,04
300,OH,1F,09,05
301,OH,1F,09,06
302,OH,1F,09,07
303,OH,1F,09,08
304,OH,1F,09,09
305,OH,1F,09,10
306,OH,1F,09,11
307,OH,1F,09,12
308,OH,1F,09,13
309,OH,1F,09,14
310,OH,1F,09,15
311,OH,1F,09,16
312,OH,1F,09,17
313,OH,1F,09,18
314,OH,1F,09,19
315,OH,1F,09,20
316,OH,1F,09,21
317,OH,1F,09,22
318,OH,1F,09,23
319,OH,1F,09,24
320,OH,1F,09,25
321,OH,1F,09,26
322,OH,1F,09,27
323,OH,1F,09,28
324,OH,1F,09,29
325,OH,1F,09,30
326,OH,1F,09,31
327,OH,1F,09,32
328,OH,1F,09,33
329,OH,1F,09,34
330,OH,1F,09,35
331,OH,1F,09,36
332,OH,1F,09,37
333,OH,1F,09,38
334,OH,1F,09,39
335,OH,1F,09,40
336,OH,1F,09,41
337,OH,1F,10,02
338,OH,1F,10,03
339,OH,1F,10,04
340,OH,1F,10,05
341,OH,1F,10,06
342,OH,1F,10,07
343,OH,1F,10,08
344,OH,1F,10,09
345,OH,1F,10,10
346,OH,1F,10,11
347,OH,1F,10,12
348,OH,1F,10,13
349,OH,1F,10,14
350,OH,1F,10,15
351,OH,1F,10,16
352,OH,1F,10,17
353,OH,1F,10,18
354,OH,1F,10,19
355,OH,1F,10,20
356,OH,1F,10,21
357,OH,1F,10,22
358,OH,1F,10,23
359,OH,1F,10,24
360,OH,1F,10,25
361,OH,1F,10,26
362,OH,1F,10,27
363,OH,1F,10,28
364,OH,1F,10,29
365,OH,1F,10,30
366,OH,1F,10,31
367,OH,1F,10,32
368,OH,1F,10,33
369,OH,1F,10,34
370,OH,1F,10,35
371,OH,1F,10,36
372,OH,1F,10,37
373,OH,1F,10,38
374,OH,1F,10,39
375,OH,1F,10,40
376,OH,1F,10,41
377,OH,1F,11,02
378,OH,1F,11,03
379,OH,1F,11,04
380,OH,1F,11,05
381,OH,1F,11,06
382,OH,1F,11,07
383,OH,1F,11,08
384,OH,1F,11,09
385,OH,1F,11,10
386,OH,1F,11,11
387,OH,1F,11,12
388,OH,1F,11,13
389,OH,1F,11,14
390,OH,1F,11,15
391,OH,1F,11,16
392,OH,1F,11,17
393,OH,1F,11,18
394,OH,1F,11,19
395,OH,1F,11,20
396,OH,1F,11,21
397,OH,1F,11,22
398,OH,1F,11,23
399,OH,1F,11,24
400,OH,1F,11,25
401,OH,1F,11,26
402,OH,1F,11,27
403,OH,1F,11,28
404,OH,1F,11,29
405,OH,1F,11,30
406,OH,1F,11,31
407,OH,1F,11,32
408,OH,1F,11,33
409,OH,1F,11,34
410,OH,1F,11,35
411,OH,1F,11,36
412,OH,1F,11,37
413,OH,1F,11,38
414,OH,1F,11,39
415,OH,1F,11,40
416,OH,1F,11,41
417,OH,1F,12,02
418,OH,1F,12,03
419,OH,1F,12,04
420,OH,1F,12,05
421,OH,1F,12,06
422,OH,1F,12,07
423,OH,1F,12,08
424,OH,1F,12,09
425,OH,1F,12,10
426,OH,1F,12,11
427,OH,1F,12,12
428,OH,1F,12,13
429,OH,1F,12,14
430,OH,1F,12,15
431,OH,1F,12,16
432,OH,1F,12,17
433,OH,1F,12,18
434,OH,1F,12,19
435,OH,1F,12,20
436,OH,1F,12,21
437,OH,1F,12,22
438,OH,1F,12,23
439,OH,1F,12,24
440,OH,1F,12,25
441,OH,1F,12,26
442,OH,1F,12,27
443,OH,1F,12,28
444,OH,1F,12,29
445,OH,1F,12,30
446,OH,1F,12,31
447,OH,1F,12,32
448,OH,1F,12,33
449,OH,1F,12,34
450,OH,1F,12,35
451,OH,1F,12,36
452,OH,1F,12,37
453,OH,1F,12,38
454,OH,1F,12,39
455,OH,1F,12,40
456,OH,1F,12,41
457,OH,1F,13,02
458,OH,1F,13,03
459,OH,1F,13,04
460,OH,1F,13,05
461,OH,1F,13,06
462,OH,1F,13,07
463,OH,1F,13,08
464,OH,1F,13,09
465,OH,1F,13,10
466,OH,1F,13,11
467,OH,1F,13,12
468,OH,1F,13,13
469,OH,1F,13,14
470,OH,1F,13,15
471,OH,1F,13,16
472,OH,1F,13,17
473,OH,1F,13,18
474,OH,1F,13,19
475,OH,1F,13,20
476,OH,1F,13,21
477,OH,1F,13,22
478,OH,1F,13,23
479,OH,1F,13,24
480,OH,1F,13,25
481,OH,1F,13,26
482,OH,1F,13,27
483,OH,1F,13,28
484,OH,1F,13,29
485,OH,1F,13,30
486,OH,1F,13,31
487,OH,1F,13,32
488,OH,1F,13,33
489,OH,1F,13,34
490,OH,1F,13,35
491,OH,1F,13,36
492,OH,1F,13,37
493,OH,1F,13,38
494,OH,1F,13,39
495,OH,1F,13,40
496,OH,1F,13,41
497,OH,1F,14,02
498,OH,1F,14,03
499,OH,1F,14,04
500,OH,1F,14,05
501,OH,1F,14,06
502,OH,1F,14,07
503,OH,1F,14,08
504,OH,1F,14,09
505,OH,1F,14,10
506,OH,1F,14,11
507,OH,1F,14,12
508,OH,1F,14,13
509,OH,1F,14,14
510,OH,1F,14,15
511,OH,1F,14,16
512,OH,1F,14,17
513,OH,1F,14,18
514,OH,1F,14,19
515,OH,1F,14,20
516,OH,1F,14,21
517,OH,1F,14,22
518,OH,1F,14,23
519,OH,1F,14,24
520,OH,1F,14,25
521,OH,1F,14,26
522,OH,1F,14,27
523,OH,1F,14,28
524,OH,1F,14,29
525,OH,1F,14,30
526,OH,1F,14,31
527,OH,1F,14,32
528,OH,1F,14,33
529,OH,1F,14,34
530,OH,1F,14,35
531,OH,1F,14,36
532,OH,1F,14,37
533,OH,1F,14,38
534,OH,1F,14,39
535,OH,1F,14,40
536,OH,1F,14,41
537,OH,1F,15,02
538,OH,1F,15,03
539,OH,1F,15,04
540,OH,1F,15,05
541,OH,1F,15,06
542,OH,1F,15,07
543,OH,1F,15,08
544,OH,1F,15,09
545,OH,1F,15,10
546,OH,1F,15,11
547,OH,1F,15,12
548,OH,1F,15,13
549,OH,1F,15,14
550,OH,1F,15,15
551,OH,1F,15,16
552,OH,1F,15,17
553,OH,1F,15,18
554,OH,1F,15,19
555,OH,1F,15,20
556,OH,1F,15,21
557,OH,1F,15,22
558,OH,1F,15,23
559,OH,1F,15,24
560,OH,1F,15,25
561,OH,1F,15,26
562,OH,1F,15,27
563,OH,1F,15,28
564,OH,1F,15,29
565,OH,1F,15,30
566,OH,1F,15,31
567,OH,1F,15,32
568,OH,1F,15,33
569,OH,1F,15,34
570,OH,1F,15,35
571,OH,1F,15,36
572,OH,1F,15,37
573,OH,1F,15,38
574,OH,1F,15,39
